filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39753482,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753488,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753489,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753490,19,19,19,0,0,0,0,1,1,1
common_voice_he_39753491,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753441,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753440,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753439,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753438,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753225,19,19,19,0,0,0,0,1,1,1
common_voice_he_40630794,11,11,11,0,0,0,0,1,1,1
common_voice_he_40630793,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753228,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753242,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753243,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753244,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753245,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753246,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753268,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753269,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753270,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753271,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753272,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753279,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753280,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753281,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753282,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753283,8,8,8,0,0,0,0,1,1,1
common_voice_he_39771249,10,10,10,0,0,0,0,1,1,1
common_voice_he_43512961,12,12,12,0,0,0,0,1,1,1
common_voice_he_39771251,14,14,14,0,0,0,0,1,1,1
common_voice_he_39831343,12,12,12,0,0,0,0,1,1,1
common_voice_he_39918069,5,5,5,0,0,0,0,1,1,1
common_voice_he_39937156,8,8,8,0,0,0,0,1,1,1
common_voice_he_43281958,9,9,9,0,0,0,0,1,1,1
common_voice_he_39937158,8,8,8,0,0,0,0,1,1,1
common_voice_he_39937159,7,7,7,0,0,0,0,1,1,1
common_voice_he_39937160,10,10,10,0,0,0,0,1,1,1
common_voice_he_39937161,25,25,25,0,0,0,0,1,1,1
common_voice_he_39937162,10,10,10,0,0,0,0,1,1,1
common_voice_he_39937163,12,12,12,0,0,0,0,1,1,1
common_voice_he_39937164,9,9,9,0,0,0,0,1,1,1
common_voice_he_39937165,11,11,11,0,0,0,0,1,1,1
common_voice_he_39937166,7,7,7,0,0,0,0,1,1,1
common_voice_he_39937167,7,7,7,0,0,0,0,1,1,1
common_voice_he_39937169,13,13,13,0,0,0,0,1,1,1
common_voice_he_39937170,9,9,9,0,0,0,0,1,1,1
common_voice_he_39937171,17,17,17,0,0,0,0,1,1,1
common_voice_he_39937172,7,7,7,0,0,0,0,1,1,1
common_voice_he_39937173,12,12,12,0,0,0,0,1,1,1
common_voice_he_39937174,13,13,13,0,0,0,0,1,1,1
common_voice_he_39937175,8,8,8,0,0,0,0,1,1,1
common_voice_he_39937181,12,12,12,0,0,0,0,1,1,1
common_voice_he_39918068,19,19,19,0,0,0,0,1,1,1
common_voice_he_39918067,13,13,13,0,0,0,0,1,1,1
